weight,dob,height,player,link,team,position,nationality
null,null,null,Adriana Jones,http://www.footballaustralia.com.au/newcastlejets/players/Adriana-Jones/22060,newcastlejets,Striker,null
null,null,null,Ainsley Buchanan,http://www.footballaustralia.com.au/newcastlejets/players/Ainsley-Buchanan/101883,newcastlejets,Goalkeeper,null
51,22-12-1994,165,Chloe Logarzo,http://www.footballaustralia.com.au/sydneyfc/players/Chloe-Logarzo/4604,sydneyfc,Striker,Australian,#ac8169
68,06-05-1988,167,Christina Julien,http://www.footballaustralia.com.au/perthglory/players/Christina-Julien/22066,perthglory,Striker,Canadian,#c9927d
null,09-10-1994,null,Cindy Lay,http://www.footballaustralia.com.au/melbournevictory/players/Cindy-Lay/5815,melbournevictory,Midfielder,null,#bd9574
67,01-02-1989,171,Clare Polkinghorne,http://www.footballaustralia.com.au/brisbaneroar/players/Clare-Polkinghorne/698,brisbaneroar,Defender,Australian,#dea791
null,null,null,Clare Wheeler,http://www.footballaustralia.com.au/newcastlejets/players/Clare-Wheeler/106828,newcastlejets,Central Defender,null
62,26-03-1986,164,Collette McCallum,http://www.footballaustralia.com.au/perthglory/players/Collette-McCallum/680,perthglory,Midfielder,Australian,#ce927a
null,null,null,Daila Tais-Borg,http://www.footballaustralia.com.au/adelaideunited/players/Daila-Tais-Borg/22075,adelaideunited,Defender,null,#ab6e64
null,null,null,Daniela Di Bartolo,http://www.footballaustralia.com.au/adelaideunited/players/Daniela-Di%20Bartolo/4551,adelaideunited,Attacking Midfielder,null,#cb9d85
null,28-06-1988,null,Danielle Brogan,http://www.footballaustralia.com.au/sydneyfc/players/Danielle-Brogan/703,sydneyfc,Defender,Australian,#bf977f
76,28-10-1984,172,Dimi Poulos,http://www.footballaustralia.com.au/wswanderersfc/players/Dimi-Poulos/22051,wswanderersfc,Goalkeeper,Australian,#c28571
52,24-02-1989,159,Elisa D'Ovidio,http://www.footballaustralia.com.au/perthglory/players/Elisa-D'Ovidio/3996,perthglory,Attacking Midfielder,Australian,#d98964
59,10-08-1990,164,Elise Kellond-Knight,http://www.footballaustralia.com.au/brisbaneroar/players/Elise-Kellond-Knight/3882,brisbaneroar,Defender,Australian,#dc9b89
null,16-05-1995,175,Eliza Campbell,http://www.footballaustralia.com.au/newcastlejets/players/Eliza-Campbell/5817,newcastlejets,Goalkeeper,Australian
56,16-05-1995,162,Elizabeth Ralston,http://www.footballaustralia.com.au/sydneyfc/players/Elizabeth-Ralston/5828,sydneyfc,Defender,Australian,#caa28f
null,22-01-1992,166,Ella Mastrantonio,http://www.footballaustralia.com.au/melbournevictory/players/Ella-Mastrantonio/3919,melbournevictory,Midfielder,Australian,#d59176
null,19-08-1988,null,Ellie Brush,http://www.footballaustralia.com.au/canberraunited/players/Ellie-Brush/4056,canberraunited,Central Defender,Australian,#ebb49b
null,03-11-1990,175,Ellyse Perry,http://www.footballaustralia.com.au/sydneyfc/players/Ellyse-Perry/5826,sydneyfc,Defender,Australian,#cba390
null,null,null,Emily Condon,http://www.footballaustralia.com.au/adelaideunited/players/Emily-Condon/22072,adelaideunited,Midfielder,null,#bd897d
68,13-05-1992,183,Emily Gielnik,http://www.footballaustralia.com.au/brisbaneroar/players/Emily-Gielnik/4066,brisbaneroar,Striker,Australian/Croatian,#be8068
null,20-12-1995,null,Emily Hulbert,http://www.footballaustralia.com.au/melbournevictory/players/Emily-Hulbert/22080,melbournevictory,Midfielder,null,#b89372
64,12-07-1993,175,Emily VanEgmond,http://www.footballaustralia.com.au/wswanderersfc/players/Emily-VanEgmond/3885,wswanderersfc,Central Midfielder,Australian,#d79f91
null,11-03-1996,null,Emma Checker,http://www.footballaustralia.com.au/melbournevictory/players/Emma-Checker/4558,melbournevictory,Defender,null,#b99372
58,01-09-1987,163,Emma Kete,http://www.footballaustralia.com.au/sydneyfc/players/Emma-Kete/5827,sydneyfc,Striker,New Zealander,#b78a6f
null,10-04-1991,null,Enza Barilla,http://www.footballaustralia.com.au/melbournevictory/players/Enza-Barilla/4032,melbournevictory,Midfielder,Australian,#b08867
63,31-05-1993,169,Erika Elze,http://www.footballaustralia.com.au/brisbaneroar/players/Erika-Elze/4068,brisbaneroar,Defender,Australian,#d4967b
55,19-07-1990,null,Gema Simon,http://www.footballaustralia.com.au/newcastlejets/players/Gema-Simon/3946,newcastlejets,Defender,null,#b2846f
null,16-09-1991,177,Gemma Pearce,http://www.footballaustralia.com.au/newcastlejets/players/Gemma-Pearce/4016,newcastlejets,Defender,null,#ae7c68
68,20-05-1995,175,Georgia Rowntree,http://www.footballaustralia.com.au/wswanderersfc/players/Georgia-Rowntree/5804,wswanderersfc,Goalkeeper,Australian,#c88e85
null,24-02-1994,null,Georgia Yeoman-Dale,http://www.footballaustralia.com.au/canberraunited/players/Georgia-Yeoman-Dale/4064,canberraunited,Striker,Australian,#e5a18a
null,28-03-1994,null,Grace Field,http://www.footballaustralia.com.au/canberraunited/players/Grace-Field/4062,canberraunited,Defender,Australian,#e5ab95
67,27-07-1989,176,Grace Gill,http://www.footballaustralia.com.au/canberraunited/players/Grace-Gill/710,canberraunited,Midfielder,Australian,#e59f85
null,04-09-1990,null,Gulcan Koca,http://www.footballaustralia.com.au/melbournevictory/players/Gulcan-Koca/4037,melbournevictory,Defender,Turkish,#b38a68
null,null,null,Hannah Beard,http://www.footballaustralia.com.au/newcastlejets/players/Hannah-Beard/22055,newcastlejets,Striker,null
55,16-04-1993,165,Hannah Brewer,http://www.footballaustralia.com.au/newcastlejets/players/Hannah-Brewer/4011,newcastlejets,Defender,Australian,#be917f
67,27-03-1984,175,Hayley Crawford,http://www.footballaustralia.com.au/newcastlejets/players/Hayley-Crawford/4007,newcastlejets,Central Midfielder,Australian,#de9083
null,05-09-1994,null,Hayley Raso,http://www.footballaustralia.com.au/brisbaneroar/players/Hayley-Raso/12186,brisbaneroar,Midfielder,Australian,#e3a180
59,21-12-1982,165,Heather Garriock,http://www.footballaustralia.com.au/wswanderersfc/players/Heather-Garriock/22044,wswanderersfc,Central Midfielder,Australian,#c48c7d
54,15-06-1993,164,Helen Petinos,http://www.footballaustralia.com.au/wswanderersfc/players/Helen-Petinos/22050,wswanderersfc,Striker,Australian,#bb8474
null,25-09-1989,null,Holly Houston,http://www.footballaustralia.com.au/canberraunited/players/Holly-Houston/6615,canberraunited,Midfielder,Australian,#eca07b
null,null,null,Isabel Hodgson,http://www.footballaustralia.com.au/adelaideunited/players/Isabel-Hodgson/22074,adelaideunited,Midfielder,null,#b67f72
null,26-07-1996,null,Jayah Brown,http://www.footballaustralia.com.au/adelaideunited/players/Jayah-Brown/22076,adelaideunited,Midfielder,null,#ab918c
null,24-03-1992,null,Jenna Kingsley,http://www.footballaustralia.com.au/wswanderersfc/players/Jenna-Kingsley/3917,wswanderersfc,Striker,Australian,#bd8576
null,null,null,Jenna McCormick,http://www.footballaustralia.com.au/adelaideunited/players/Jenna-McCormick/5856,adelaideunited,Defender,null,#af7061
null,28-01-1992,null,Jennifer Bisset,http://www.footballaustralia.com.au/canberraunited/players/Jennifer-Bisset/4058,canberraunited,Midfielder,Australian,#e7a483
null,17-01-1995,null,Jess Dillon,http://www.footballaustralia.com.au/perthglory/players/Jess-Dillon/22064,perthglory,Midfielder,Australian,#d8987b
null,null,null,Jessica Fishlock,http://www.footballaustralia.com.au/melbournevictory/players/Jessica-Fishlock/5889,melbournevictory,Central Midfielder,null
null,07-05-1986,null,Jessica Humble,http://www.footballaustralia.com.au/melbournevictory/players/Jessica-Humble/5929,melbournevictory,Central Defender,null,#bc997b
null,null,null,Jessica Nagel,http://www.footballaustralia.com.au/adelaideunited/players/Jessica-Nagel/4248,adelaideunited,Midfielder,null,#be8777
null,30-01-1992,null,Jessica Samuelsson,http://www.footballaustralia.com.au/melbournevictory/players/Jessica-Samuelsson/33146,melbournevictory,Central Defender,null,#ae7e63
68,17-06-1990,175,Jessica Seaman,http://www.footballaustralia.com.au/wswanderersfc/players/Jessica-Seaman/3932,wswanderersfc,Central Defender,Australian,#c8998b
null,null,null,Jessica Waterhouse,http://www.footballaustralia.com.au/adelaideunited/players/Jessica-Waterhouse/5797,adelaideunited,Midfielder,null,#b68277
null,null,null,Jessie Wharepouri,http://www.footballaustralia.com.au/adelaideunited/players/Jessie-Wharepouri/5855,adelaideunited,Defender,null,#a96a59
null,23-09-1979,null,Joanne Burgess,http://www.footballaustralia.com.au/brisbaneroar/players/Joanne-Burgess/4571,brisbaneroar,Striker,Australian,#d59b88
null,11-01-1989,null,Jocelyn Mara,http://www.footballaustralia.com.au/canberraunited/players/Jocelyn-Mara/4059,canberraunited,Goalkeeper,Australian,#f1b5a1
null,17-05-1986,null,Jodie Taylor,http://www.footballaustralia.com.au/sydneyfc/players/Jodie-Taylor/4042,sydneyfc,Striker,null,#d38b75
52,01-11-1996,164,Jordan Baker,http://www.footballaustralia.com.au/wswanderersfc/players/Jordan-Baker/22049,wswanderersfc,Striker,Australian,#c3877e
null,23-11-1989,null,Katarina Jukic,http://www.footballaustralia.com.au/perthglory/players/Katarina-Jukic/101886,perthglory,Striker,Australian,#dfa287
64,10-12-1984,181,Kate Gill,http://www.footballaustralia.com.au/perthglory/players/Kate-Gill/675,perthglory,Striker,Australian,#c78e6c
null,08-06-1981,165,Kate Hensman,http://www.footballaustralia.com.au/newcastlejets/players/Kate-Hensman/4024,newcastlejets,Striker,Australian,#c09681
73,18-09-1989,175,Kate Stewart,http://www.footballaustralia.com.au/brisbaneroar/players/Kate-Stewart/714,brisbaneroar,Goalkeeper,Australian,#c4856f
64,12-08-1992,166,Kathleen Waycott,http://www.footballaustralia.com.au/perthglory/players/Kathleen-Waycott/4005,perthglory,Goalkeeper,Australian,#d59884
null,01-02-1988,null,Katie Hoyle,http://www.footballaustralia.com.au/melbournevictory/players/Katie-Hoyle/22078,melbournevictory,Midfielder,null,#d88d6c
54,13-08-1992,143,Katrina Gorry,http://www.footballaustralia.com.au/brisbaneroar/players/Katrina-Gorry/4605,brisbaneroar,Midfielder,Australian,#c78d6f
null,null,null,Kelly Barltrop,http://www.footballaustralia.com.au/adelaideunited/players/Kelly-Barltrop/5857,adelaideunited,Goalkeeper,null,#ac7b71
null,06-11-1984,null,Kendall Fletcher,http://www.footballaustralia.com.au/canberraunited/players/Kendall-Fletcher/6612,canberraunited,Central Defender,American,#eaa381
null,null,null,Kristy Moore,http://www.footballaustralia.com.au/adelaideunited/players/Kristy-Moore/6081,adelaideunited,Striker,null,#b1796c
null,10-01-1996,null,Larissa Crummer,http://www.footballaustralia.com.au/brisbaneroar/players/Larissa-Crummer/5824,brisbaneroar,Striker,Australian,#eca97e
72,28-11-1989,178,Laura Alleway,http://www.footballaustralia.com.au/brisbaneroar/players/Laura-Alleway/3898,brisbaneroar,Defender,Australian,#cc876f
null,18-11-1991,174,Laura Spiranovic,http://www.footballaustralia.com.au/melbournevictory/players/Laura-Spiranovic/4580,melbournevictory,Striker,Australian,#c39e79
null,null,null,Laura Stockdale,http://www.footballaustralia.com.au/adelaideunited/players/Laura-Stockdale/22071,adelaideunited,Midfielder,null,#bb8277
null,null,null,Lauren Brown,http://www.footballaustralia.com.au/newcastlejets/players/Lauren-Brown/22059,newcastlejets,Attacking Midfielder,null
62,19-06-1986,168,Leena Khamis,http://www.footballaustralia.com.au/sydneyfc/players/Leena-Khamis/711,sydneyfc,Striker,Australian,#b98d72
49,25-05-1992,null,Linda O'Neill,http://www.footballaustralia.com.au/wswanderersfc/players/Linda-O'Neill/3936,wswanderersfc,Midfielder,Australian,#c7907e
null,14-11-1984,null,Lisa De Vanna,http://www.footballaustralia.com.au/melbournevictory/players/Lisa-De%20Vanna/5884,melbournevictory,Striker,null,#ae876b
null,19-03-1980,null,Lori Lindsey,http://www.footballaustralia.com.au/canberraunited/players/Lori-Lindsey/6613,canberraunited,Central Midfielder,American,#e8a790
63,13-05-1988,175,Lydia Williams,http://www.footballaustralia.com.au/canberraunited/players/Lydia-Williams/693,canberraunited,Goalkeeper,Australian,#e6987c
76,25-02-1994,181,Mackenzie Arnold,http://www.footballaustralia.com.au/wswanderersfc/players/Mackenzie-Arnold/22040,wswanderersfc,Goalkeeper,Australian,#ba8779
null,null,null,Madeline Searl,http://www.footballaustralia.com.au/newcastlejets/players/Madeline-Searl/5830,newcastlejets,Midfielder,null,#d97c69
null,04-12-1987,null,Maika Ruyter-Hooley,http://www.footballaustralia.com.au/melbournevictory/players/Maika-Ruyter-Hooley/4029,melbournevictory,Defender,Australia,#e19975
62,19-10-1992,164,Marianna Tabain,http://www.footballaustralia.com.au/perthglory/players/Marianna-Tabain/3939,perthglory,Striker,Australian,#dca48c
null,20-03-1995,null,Meg McLaughlin,http://www.footballaustralia.com.au/canberraunited/players/Meg-McLaughlin/6616,canberraunited,Striker,Australian,#f2bba2
null,null,null,Mel Caceres,http://www.footballaustralia.com.au/sydneyfc/players/Mel-Caceres/22081,sydneyfc,Midfielder,null,#b0896f
null,20-01-1980,null,Melissa Barbieri,http://www.footballaustralia.com.au/adelaideunited/players/Melissa-Barbieri/22067,adelaideunited,Goalkeeper,null,#b59d90
54,30-12-1981,159,Michelle Carney,http://www.footballaustralia.com.au/wswanderersfc/players/Michelle-Carney/22046,wswanderersfc,Striker,Australian,#cb8676
null,04-07-1988,175,Michelle Heyman,http://www.footballaustralia.com.au/canberraunited/players/Michelle-Heyman/4050,canberraunited,Striker,Australian,#e9a388
null,null,null,Monique Iannella,http://www.footballaustralia.com.au/adelaideunited/players/Monique-Iannella/22073,adelaideunited,Midfielder,null,#af7f71
null,10-01-1978,null,Nadine Angerer,http://www.footballaustralia.com.au/brisbaneroar/players/Nadine-Angerer/12182,brisbaneroar,Goalkeeper,German,#cb8f71
62,13-10-1996,167,Natalie Tobin,http://www.footballaustralia.com.au/sydneyfc/players/Natalie-Tobin/5837,sydneyfc,Midfielder,Australian,#bf967f
null,28-05-1995,null,Natasha Wheeler,http://www.footballaustralia.com.au/brisbaneroar/players/Natasha-Wheeler/12187,brisbaneroar,Defender,Australian,#d78e5b
58,03-03-1993,169,Nicola Bolger,http://www.footballaustralia.com.au/sydneyfc/players/Nicola-Bolger/4274,sydneyfc,Midfielder,Australian,#d78d75
53,15-12-1991,168,Nicole Sykes,http://www.footballaustralia.com.au/canberraunited/players/Nicole-Sykes/3925,canberraunited,Defender,Australian,#F7CDB5
62,08-04-1994,179,Rachael Soutar,http://www.footballaustralia.com.au/wswanderersfc/players/Rachael-Soutar/5885,wswanderersfc,Defender,Australian,#d1a096
null,16-01-1991,165,Racheal Quigley,http://www.footballaustralia.com.au/adelaideunited/players/Racheal-Quigley/4073,adelaideunited,Striker,Australian,#b98278
65,22-09-1989,174,Renee Rollason,http://www.footballaustralia.com.au/sydneyfc/players/Renee-Rollason/3989,sydneyfc,Midfielder,Australian,#bb9380
null,null,null,Rhaili Dobson,http://www.footballaustralia.com.au/newcastlejets/players/Rhaili-Dobson/22054,newcastlejets,Striker,null
62,19-01-1990,166,Rosie Sutton,http://www.footballaustralia.com.au/perthglory/players/Rosie-Sutton/5843,perthglory,Striker,Australian,#d28b70
null,25-07-1994,null,Sally Rojahn,http://www.footballaustralia.com.au/canberraunited/players/Sally-Rojahn/4063,canberraunited,Central Defender,Australian,#edab8e
69,20-10-1987,176,Sally Shipard,http://www.footballaustralia.com.au/canberraunited/players/Sally-Shipard/687,canberraunited,Midfielder,Australian,#e39e7e
63,10-09-1993,null,Samantha Kerr,http://www.footballaustralia.com.au/sydneyfc/players/Samantha-Kerr/3879,sydneyfc,Right Wing,Australian,#d08162
57,07-03-1995,172,Sarah Carroll,http://www.footballaustralia.com.au/perthglory/players/Sarah-Carroll/4592,perthglory,Defender,Australian,#cb9076
null,14-02-1983,178,Sasha Andrews,http://www.footballaustralia.com.au/perthglory/players/Sasha-Andrews/5842,perthglory,Defender,Canadian,#985029
null,03-08-1989,161,Servet Uzunlar,http://www.footballaustralia.com.au/wswanderersfc/players/Servet-Uzunlar/705,wswanderersfc,Midfielder,Australian,#c48b70
64,13-02-1995,172,Sham Khamis,http://www.footballaustralia.com.au/sydneyfc/players/Sham-Khamis/4568,sydneyfc,Goalkeeper,Assyrian,#d3866f
55,09-06-1991,null,Shannon May,http://www.footballaustralia.com.au/perthglory/players/Shannon-May/3994,perthglory,Midfielder,Australian,#dc9a80
62,26-09-1992,163,Shawn Billam,http://www.footballaustralia.com.au/perthglory/players/Shawn-Billam/4583,perthglory,Defender,English / Australian,#d49879
null,18-01-1990,null,Shawna Gordon,http://www.footballaustralia.com.au/wswanderersfc/players/Shawna-Gordon/22042,wswanderersfc,Central Midfielder,American,#ba7a66
null,null,null,Siahn Bozanic,http://www.footballaustralia.com.au/newcastlejets/players/Siahn-Bozanic/22052,newcastlejets,Attacking Midfielder,null
63,29-11-1988,null,Stacey Day,http://www.footballaustralia.com.au/newcastlejets/players/Stacey-Day/4012,newcastlejets,Defender,null,#a4775a
null,26-01-1994,171,Stephanie Catley,http://www.footballaustralia.com.au/melbournevictory/players/Stephanie-Catley/4036,melbournevictory,Midfielder,Australian,#c09e82
null,22-08-1990,null,Stephanie Ochs,http://www.footballaustralia.com.au/canberraunited/players/Stephanie-Ochs/6614,canberraunited,Striker,American,#e49f80
null,null,null,Sunny Franco,http://www.footballaustralia.com.au/brisbaneroar/players/Sunny-Franco/12183,brisbaneroar,Midfielder,Australian,#c3836b
55,16-06-1991,158,Tameka Butt,http://www.footballaustralia.com.au/brisbaneroar/players/Tameka-Butt/3874,brisbaneroar,Attacking Midfielder,Australian,#cb8d78
58,13-03-1994,175,Tara Andrews,http://www.footballaustralia.com.au/newcastlejets/players/Tara-Andrews/4026,newcastlejets,Striker,Australian,#b68876
null,null,null,Tegan Riding,http://www.footballaustralia.com.au/adelaideunited/players/Tegan-Riding/22070,adelaideunited,Midfielder,null,#a87267
65,12-02-1994,168,Teigen Allen,http://www.footballaustralia.com.au/wswanderersfc/players/Teigen-Allen/3887,wswanderersfc,Defender,Australian,#ce9687
48,16-05-1990,154,Teresa Polias,http://www.footballaustralia.com.au/sydneyfc/players/Teresa-Polias/3927,sydneyfc,Midfielder,Australian,#b78c6f
65,31-05-1995,null,Thia Eastman,http://www.footballaustralia.com.au/perthglory/players/Thia-Eastman/5811,perthglory,Central Defender,Australian,#c89079
null,null,null,Tiarn Powell,http://www.footballaustralia.com.au/adelaideunited/players/Tiarn-Powell/22077,adelaideunited,Striker,null,#bc8980
56,01-12-1982,165,Tiffany Boshers,http://www.footballaustralia.com.au/newcastlejets/players/Tiffany-Boshers/5820,newcastlejets,Midfielder,American,#c19c86
null,07-10-1995,null,Tiffany Eliadis,http://www.footballaustralia.com.au/melbournevictory/players/Tiffany-Eliadis/5814,melbournevictory,Striker,null,#ad8962
55,23-09-1989,163,Tori Huster,http://www.footballaustralia.com.au/wswanderersfc/players/Tori-Huster/22045,wswanderersfc,Central Midfielder,American,#cb938b
null,15-04-1991,null,Trudy Burke,http://www.footballaustralia.com.au/canberraunited/players/Trudy-Burke/5790,canberraunited,Goalkeeper,Australian,#e1917b
56,16-09-1991,153,Trudy Camilleri,http://www.footballaustralia.com.au/sydneyfc/players/Trudy-Camilleri/4044,sydneyfc,Midfielder,Australian,#b68f78
58,10-01-1992,163,Vedrana Popovic,http://www.footballaustralia.com.au/brisbaneroar/players/Vedrana-Popovic/4070,brisbaneroar,Defender,Australian,#e0a688
